label,structure,operation,count,mean_ns,p50_ns,p99_ns,total_seconds,final_size,final_height,rotations_left,rotations_right
scale_n1000000_r3,bst,RANK,500,33048847.2,31796100,97504800,16.5244236,130468,33,0,0
scale_n1000000_r3,bst,SELECT,500,24613042.4,24541300,66999900,12.3065212,130468,33,0,0
scale_n1000000_r3,bst,RANGE,500,24821587.2,21710900,69702800,12.4107936,130468,33,0,0
scale_n1000000_r3,bst,ALL,2001500,24898.90517112166,3600,11000,49.8351587,130468,33,0,0
theta_0_0_r1,avl,I,70269,25370.035150635416,24500,68100,1.782727,13427,16,34478,31307
theta_0_0_r1,avl,D,59885,23627.926859814645,22900,63100,1.4149584,13427,16,34478,31307
theta_0_0_r1,avl,S,69846,2576.073075050826,2300,6700,0.1799284,13427,16,34478,31307
theta_0_0_r1,avl,RANK,500,2865.6,2800,6100,0.0014328,13427,16,34478,31307
theta_0_0_r1,avl,SELECT,500,4087.2,3800,9000,0.0020436,13427,16,34478,31307
theta_0_0_r1,avl,RANGE,500,7750.8,7100,21800,0.0038754,13427,16,34478,31307
theta_0_0_r1,avl,ALL,201500,16798.836724565757,13000,54300,3.3849656,13427,16,34478,31307
theta_0_0_r1,bst,I,70269,3619.756934067654,2900,8800,0.2543567,13427,26,0,0
theta_0_0_r1,bst,D,59885,4334.674793353928,3400,10400,0.259582,13427,26,0,0
theta_0_0_r1,bst,S,69846,3159.5868052572805,2400,7900,0.2206845,13427,26,0,0
theta_0_0_r1,bst,RANK,500,3507591.4,2904800,11395100,1.7537957,13427,26,0,0
theta_0_0_r1,bst,SELECT,500,2875232.2,2341000,10087500,1.4376161,13427,26,0,0
theta_0_0_r1,bst,RANGE,500,2720914.2,1999200,9190800,1.3604571,13427,26,0,0
theta_0_0_r1,bst,ALL,201500,26235.69280397022,2800,26100,5.2864921,13427,26,0,0
theta_0_0_r2,avl,I,70269,35107.25640040416,28500,120800,2.4669518,13427,16,34478,31307
theta_0_0_r2,avl,D,59885,31758.971361776737,26500,103700,1.901886,13427,16,34478,31307
theta_0_0_r2,avl,S,69846,3719.165020187269,2700,9000,0.2597688,13427,16,34478,31307
theta_0_0_r2,avl,RANK,500,3765.8,3500,7300,0.0018829,13427,16,34478,31307
theta_0_0_r2,avl,SELECT,500,5634.8,4900,27000,0.0028174,13427,16,34478,31307
theta_0_0_r2,avl,RANGE,500,11073.8,8500,32000,0.0055369,13427,16,34478,31307
theta_0_0_r2,avl,ALL,201500,23021.557320099255,14100,83500,4.6388438,13427,16,34478,31307
theta_0_0_r2,bst,I,70269,5594.96648593263,4500,14700,0.3931527,13427,26,0,0
theta_0_0_r2,bst,D,59885,6493.333889955748,5400,16800,0.3888533,13427,26,0,0
theta_0_0_r2,bst,S,69846,4721.964035163073,3900,11600,0.3298103,13427,26,0,0
theta_0_0_r2,bst,RANK,500,4237566.8,3840900,10972600,2.1187834,13427,26,0,0
theta_0_0_r2,bst,SELECT,500,3483132.6,3041900,10029100,1.7415663,13427,26,0,0
theta_0_0_r2,bst,RANGE,500,3420353.2,2802100,11089800,1.7101766,13427,26,0,0
theta_0_0_r2,bst,ALL,201500,33162.9905707196,4500,50000,6.6823426,13427,26,0,0
theta_0_0_r3,avl,I,70269,38603.20909647213,33300,138900,2.7126089,13427,16,34478,31307
theta_0_0_r3,avl,D,59885,35939.48401102112,29500,121100,2.152236,13427,16,34478,31307
theta_0_0_r3,avl,S,69846,4120.018326031555,3200,9700,0.2877668,13427,16,34478,31307
theta_0_0_r3,avl,RANK,500,6344.4,5900,18100,0.0031722,13427,16,34478,31307
theta_0_0_r3,avl,SELECT,500,8916.6,8200,32800,0.0044583,13427,16,34478,31307
theta_0_0_r3,avl,RANGE,500,16050.0,14900,52500,0.008025,13427,16,34478,31307
theta_0_0_r3,avl,ALL,201500,25648.968734491315,14900,93800,5.1682672,13427,16,34478,31307
theta_0_0_r3,bst,I,70269,5643.929755653276,4700,11400,0.3965933,13427,26,0,0
theta_0_0_r3,bst,D,59885,6672.9564999582535,5500,14900,0.39961,13427,26,0,0
theta_0_0_r3,bst,S,69846,4996.157260258283,4000,10200,0.3489616,13427,26,0,0
theta_0_0_r3,bst,RANK,500,3814066.8,3093300,12753100,1.9070334,13427,26,0,0
theta_0_0_r3,bst,SELECT,500,3185508.8,2459700,12001300,1.5927544,13427,26,0,0
theta_0_0_r3,bst,RANGE,500,3047616.2,2277900,11545300,1.5238081,13427,26,0,0
